id	yield	reactant_smiles	solvent_smiles	base_smiles	product_smiles	catalyst_smiles
11	98.73132	Nc1ccc(C)cc1.Brc1cccnc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.o1nccc1-c1ccccc1	CS(=O)C	CN1CCCN2C1=NCCC2	C1=CC(=CN=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
12	66.20794	Nc1ccc(C)cc1.Ic1ccccn1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.O(CC)C(=O)c1cc(C)no1	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
13	83.08846	Nc1ccc(C)cc1.Brc1ccccn1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.O(CC)C(=O)c1cc(C)no1	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
14	86.59758	Nc1ccc(C)cc1.Brc1ccc(CC)cc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.O(CC)C(=O)c1cc(C)no1	CS(=O)C	CN1CCCN2C1=NCCC2	CCC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
15	72.84831	Nc1ccc(C)cc1.Brc1ccc(CC)cc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.O(CC)C(=O)c1cc(C)on1	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	CCC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
16	72.63771	Nc1ccc(C)cc1.Brc1ccc(CC)cc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.O(CC)C(=O)c1cc(C)on1	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	CCC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
17	50.28665	Nc1ccc(C)cc1.Brc1ccc(C(F)(F)F)cc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.O(CC)C(=O)c1cc(C)on1	CS(=O)C	CN1CCCN2C1=NCCC2	C1=CC(=CC=C1C(F)(F)F)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
18	28.4785	Nc1ccc(C)cc1.Brc1ccccn1.CC(C)c1cc(C(C)C)c(-c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.o1nccc1-c1ccccc1	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
19	66.88609	Nc1ccc(C)cc1.Ic1ccc(CC)cc1.CC(C)c1cc(C(C)C)c(-c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.O(CC)C(=O)c1cc(C)no1	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	CCC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
20	86.41286	Nc1ccc(C)cc1.Brc1cccnc1.CC(C)c1cc(C(C)C)c(-c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.O(CC)C(=O)c1cc(C)on1	CS(=O)C	CN1CCCN2C1=NCCC2	C1=CC(=CN=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
21	34.28508	Nc1ccc(C)cc1.Brc1ccc(OC)cc1.P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2.o1nccc1-c1ccccc1	CS(=O)C	CN1CCCN2C1=NCCC2	COC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
22	85.89474	Nc1ccc(C)cc1.Ic1ccc(CC)cc1.P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2.O(CC)C(=O)c1cc(C)no1	CS(=O)C	CN1CCCN2C1=NCCC2	CCC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
23	4.34468	Nc1ccc(C)cc1.Brc1ccc(OC)cc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1.o1cc(-c2ccccc2)cn1	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	COC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
24	11.40685	Nc1ccc(C)cc1.Ic1ccc(CC)cc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1.o1cc(-c2ccccc2)cn1	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	CCC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
25	28.37187	Nc1ccc(C)cc1.Ic1ccc(OC)cc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1.o1ccc(-c2ccccc2)n1	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	COC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
26	27.38026	Nc1ccc(C)cc1.Ic1ccc(OC)cc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1.o1ccc(C)n1	CS(=O)C	CN1CCCN2C1=NCCC2	COC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
27	47.02427	Nc1ccc(C)cc1.Brc1ccc(C(F)(F)F)cc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.o1cc(-c2ccccc2)cn1	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	C1=CC(=CC=C1C(F)(F)F)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
28	94.34623	Nc1ccc(C)cc1.Brc1cccnc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.o1cc(-c2ccccc2)cn1	CS(=O)C	CN1CCCN2C1=NCCC2	C1=CC(=CN=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
29	1.57607	Nc1ccc(C)cc1.Brc1cccnc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.o1ccc(-c2ccccc2)n1	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	C1=CC(=CN=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
30	83.09647	Nc1ccc(C)cc1.Brc1ccc(CC)cc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.o1ccc(-c2ccccc2)n1	CS(=O)C	CN1CCCN2C1=NCCC2	CCC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
31	63.14714	Nc1ccc(C)cc1.Brc1ccccn1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.o1ccc(C)n1	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
32	32.19059	Nc1ccc(C)cc1.Clc1ccccn1.CC(C)c1cc(C(C)C)c(-c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.o1cc(-c2ccccc2)cn1	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
33	70.22907	Nc1ccc(C)cc1.Brc1ccc(CC)cc1.CC(C)c1cc(C(C)C)c(-c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.o1ccc(-c2ccccc2)n1	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	CCC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
34	74.23567	Nc1ccc(C)cc1.Brc1ccc(CC)cc1.CC(C)c1cc(C(C)C)c(-c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.o1ccc(-c2ccccc2)n1	CS(=O)C	CN1CCCN2C1=NCCC2	CCC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
35	26.39185	Nc1ccc(C)cc1.Ic1ccc(CC)cc1.P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2.o1cc(-c2ccccc2)cn1	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	CCC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
36	82.4636	Nc1ccc(C)cc1.Brc1ccc(CC)cc1.P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2.o1ccc(-c2ccccc2)n1	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	CCC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
37	80.39592	Nc1ccc(C)cc1.Brc1ccc(CC)cc1.P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2.o1ccc(-c2ccccc2)n1	CS(=O)C	CN1CCCN2C1=NCCC2	CCC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
38	0.66506	Nc1ccc(C)cc1.Brc1ccc(OC)cc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1.o1nccc1C(=O)OC	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	COC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
39	38.88073	Nc1ccc(C)cc1.Brc1ccccn1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.o1nccc1C	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
40	17.14483	Nc1ccc(C)cc1.Ic1ccc(OC)cc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.o1cc2ccccc2n1	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	COC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
41	75.38356	Nc1ccc(C)cc1.Brc1cccnc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.o1nc(C)cc1C	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	C1=CC(=CN=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
42	23.65087	Nc1ccc(C)cc1.Brc1ccccn1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.o1nccc1C(=O)OC	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
43	15.44372	Nc1ccc(C)cc1.Ic1ccc(OC)cc1.CC(C)c1cc(C(C)C)c(-c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.o1cc2ccccc2n1	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	COC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
44	49.57379	Nc1ccc(C)cc1.Ic1ccc(OC)cc1.CC(C)c1cc(C(C)C)c(-c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.o1nc(C)cc1C	CS(=O)C	CN1CCCN2C1=NCCC2	COC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
45	36.05565	Nc1ccc(C)cc1.Clc1ccccn1.CC(C)c1cc(C(C)C)c(-c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.o1nccc1C(=O)OC	CS(=O)C	CN1CCCN2C1=NCCC2	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
46	82.57086	Nc1ccc(C)cc1.Brc1ccccn1.P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2.o1nccc1C	CS(=O)C	CN1CCCN2C1=NCCC2	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
47	77.63473	Nc1ccc(C)cc1.Brc1ccccn1.P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2.o1nc(C)cc1C	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
48	83.80387	Nc1ccc(C)cc1.Brc1cccnc1.P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2.o1nc(C)cc1C	CS(=O)C	CN1CCCN2C1=NCCC2	C1=CC(=CN=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
49	0	Nc1ccc(C)cc1.Ic1ccc(OC)cc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1.O(CC)C(=O)c1ccon1	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	COC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
50	60.47798	Nc1ccc(C)cc1.Brc1ccccn1.CC(C)c1cc(C(C)C)c(-c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.O(CC)C(=O)c1ccon1	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
51	59.85587	Nc1ccc(C)cc1.Ic1ccc(CC)cc1.CC(C)c1cc(C(C)C)c(-c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.O(CC)C(=O)c1cnoc1C	CS(=O)C	CN1CCCN2C1=NCCC2	CCC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
52	2.0427	Nc1ccc(C)cc1.Ic1ccc(OC)cc1.CC(C)c1cc(C(C)C)c(-c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.O(CC)C(=O)c1cnoc1	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	COC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
53	57.19205	Nc1ccc(C)cc1.Brc1ccc(CC)cc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.c1ccccc1CN(Cc1ccccc1)c1ccon1	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	CCC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
54	63.0777	Nc1ccc(C)cc1.Brc1cccnc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.o1nc(C(=O)OC)cc1-c1ccco1	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	C1=CC(=CN=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
55	62.03548	Nc1ccc(C)cc1.Ic1ccc(CC)cc1.CC(C)c1cc(C(C)C)c(-c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.O(CC)C(=O)c1cc(OC)no1	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	CCC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
56	60.94659	Nc1ccc(C)cc1.Brc1ccccn1.CC(C)c1cc(C(C)C)c(-c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.o1nc(C)cc1-c1ccccc1	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
57	27.69709	Nc1ccc(C)cc1.Clc1ccccn1.P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2.O(CC)C(=O)c1cc(OC)no1	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
58	73.81395	Nc1ccc(C)cc1.Brc1cccnc1.P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2.o1nc(C)cc1-c1ccccc1	CS(=O)C	CN1CCCN2C1=NCCC2	C1=CC(=CN=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
59	1.47096	Nc1ccc(C)cc1.Clc1cccnc1.P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2.o1nc(C(=O)OC)cc1-c1ccco1	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	C1=CC(=CN=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
60	53.88645	Nc1ccc(C)cc1.Ic1ccc(CC)cc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1.o1nc(-n2cccc2)cc1C	CS(=O)C	CN1CCCN2C1=NCCC2	CCC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
61	6.58127	Nc1ccc(C)cc1.Clc1ccc(CC)cc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.c1ccccc1CN(Cc1ccccc1)c1ccno1	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	CCC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
62	0	Nc1ccc(C)cc1.Clc1cccnc1.P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2.Fc1cccc(F)c1-c1ccno1	CS(=O)C	CN1CCCN2C1=NCCC2	C1=CC(=CN=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
63	29.01476	Nc1ccc(C)cc1.Brc1ccc(OC)cc1.P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2.c1ccccc1CN(Cc1ccccc1)c1ccno1	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	COC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
64	59.16217	Nc1ccc(C)cc1.Ic1cccnc1.P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2.c1ccccc1CN(Cc1ccccc1)c1ccno1	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	C1=CC(=CN=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
65	49.20463	Nc1ccc(C)cc1.Brc1ccc(OC)cc1.P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2.o1nc(-n2cccc2)cc1C	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	COC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
